name,symbol,contract_address,decimal
Binance-Peg Ethereum Token,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18
Binance-Peg BSC-USD,BSC-USD,0x55d398326f99059ff775485246999027b3197955,18
Wrapped BNB,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18
Binance-Peg XRP Token,XRP,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,18
Binance-Peg USD Coin,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18
USDC,anyUSDC,0x8965349fb649a33a30cbfda057d8ec2c48abe2a2,18
Binance-Peg Cardano Token,ADA,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18
Binance-Peg Dogecoin Token,DOGE,0xba2ae424d960c26247dd6c32edc70b295c744c43,8
TRON,TRX,0xce7de646e7208a4ef112cb6ed5038fa6cc6b12e3,6
Binance-Peg Polkadot Token,DOT,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18
Matic Token,MATIC,0xcc42724c6683b7e57334c4e856f4c9965ed682bd,18
Binance-Peg Dai Token,DAI,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18
Binance-Peg SHIBA INU Token,SHIB,0x2859e4544c4bb03966803b044a93563bd2d0dd4d,18
Binance-Peg Litecoin Token,LTC,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,18
Wrapped TON Coin,TONCOIN,0x76A797A59Ba2C17726896976B7B3747BfD1d220f,9
Binance-Peg Avalanche Token,AVAX,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,18
Binance-Peg Bitcoin Cash Token,BCH,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,18
Stellar,XLM,0x43c934a845205f0b514417d757d7235b8f53f1b9,18
Binance-Peg ChainLink Token,LINK,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18
Binance-Peg BUSD Token,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18
Binance-Peg Uniswap,UNI,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18
TrueUSD,TUSD,0x40af3827F39D0EAcBF4A168f8D4ee67c121D11c9,18
Binance-Peg Cosmos Token,ATOM,0x0eb3a705fc54725037cc9e008bdede697f62f335,18
Binance-Peg BitTorrent Token,BTT,0x8595f9da7b868b1822194faed312235e43007b49,18
Binance-Peg Ethereum Classic,ETC,0x3d6545b08693dae087e957cb1180ee38b9e3c25e,18
Binance-Peg BTCB Token,BTCB,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18
VeChain,VET,0x6fdcdfef7c496407ccb0cec90f9c5aaa1cc8d888,18
Binance-Peg NEAR Protocol,NEAR,0x1fa4a73a3f0133f0025378af00236f3abdee5d63,18
Binance-Peg Maker,MKR,0x5f0da599bb2cccfcf6fdfd7d81743b6020864350,18
Binance-Peg Elrond Token,EGLD,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe,18
Binance-Peg Paxos Standard,PAX,0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094,18
Frax,FRAX,0x29ced01c447166958605519f10dcf8b0255fb379,18
Frax,FRAX,0x90c97f71e18723b0cf0dfa30ee176ab653e89f40,18
Decentralized USD,USDD,0xd17479997F34dd9156Deef8F95A52D81D265be9c,18
Binance-Peg Synthetix Network Token,SNX,0x9ac983826058b8a9c7aa1c9171441191232e8404,18
Binance-Peg Tezos Token,XTZ,0x16939ef78684453bfdfb47825f8a5f714f12623a,18
Binance-Peg Axie Infinity Shard Token,AXS,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,18
Binance-Peg EOS Token,EOS,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,18
Fantom,FTM,0xad29abb318791d579433d831ed122afeaf29dcfe,18
Decentraland,MANA,0x26433c8127d9b4e9b71eaa15111df99ea2eeb2f8,18
Binance-Peg Pax Dollar Token,USDP,0xb3c11196a4f3b1da7c23d9fb0a3dde9c6340934f,18
Binance-Peg FLOW Token,FLOW,0xc943c5320b9c18c153d1e2d12cc3074bebfb31a2,18
Binance-Peg eCash Token,XEC,0x0ef2e7602add1733bfdb17ac3094d0421b502ca3,18
Binance-Peg PAX Gold,PAXG,0x7950865a9140cb519342433146ed5b40c6f210f7,18
Frax Share,FXS,0xe48a3d7d0bc88d552f730b62c006bc925eadb9ee,18
Frax Ether,frxETH,0x64048a7eecf3a2f1ba9e144aac3d7db6e58f555e,18
BSC Conflux,bCFX,0x045c4324039dA91c52C55DF5D785385Aab073DcF,18
MIOTAC,IOTA,0xd944f1d1e9d5f9bb90b62f9d45e447d989580782,6
Binance-Peg Zcash Token,ZEC,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb,18
BitTorrent,BTT,0x352Cb5E19b12FC216548a2677bD0fce83BaE434B,18
Trust Wallet,TWT,0x4b0f1812e5df2a09796481ff14017e6005508003,18
Binance-Peg APENFT Token,NFT,0x1fc9004ec7e5722891f5f38bae7678efcb11d34d,6
APENFT,NFT,0x20ee7b720f4e4c4ffcb00c4065cdae55271aecca,6
Wootrade Network,WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18
Staked Frax Ether,sfrxETH,0x3cd55356433c89e50dc51ab07ee0fa0a95623d53,18
ARB,Arbitrum,0xa050ffb3eeb8200eeb7f61ce34ff644420fd3522,18
Optimism,OP,0x170C84E3b1D282f9628229836086716141995200,18
Binance-Peg Compound Coin,COMP,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,18
Zilliqa,ZIL,0xb86abcb37c3a4b64f74f59301aff131a1becc787,12
Binance-Peg Basic Attention Token,BAT,0x101d82428437127bf1608f699cd651e6abf9766e,18
1INCH Token,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,18
Illuvium,ILV,0x4d5ac5cc4f8abdf2ec2cb986c00c382369f787d4,18
SafePal Token,SFP,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,18
Loopring,LRC,0x66e4d38b20173f509a1ff5d82866949e4fe898da,18
